wave,id,age,gender,ambition,ambition_1,ambition_2,ambition_3,ambition_4,ambition_5,ambition_6,ambition_7,motivation_to_lead,mtl_1,mtl_2,mtl_3,mtl_4,mtl_5,mtl_6,mtl_7,mtl_8,drive_to_achieve,extra,leader_ability,self,others,direct_reports,managers,peers
1,50,33,1,5.857142857142857,5,6,7,6,6,5,6,5,5,5,5,5,5,5,5,5,NA,NA,NA,5.14,5.454076447116314,5.547253401360544,6.08,5.204418604651163
1,51,34,2,7,7,7,7,7,7,7,7,5,6,6,4,3,4,6,5,6,NA,NA,NA,5.34,5.724708115804462,NA,5.322790697674419,5.99265306122449
1,52,45,1,5.714285714285714,5,6,4,6,6,6,7,5.375,5,6,6,5,5,5,5,6,NA,NA,NA,5.06,5.940816326530612,5.76,5.86,6.162040816326531
1,53,NA,2,7,7,7,7,7,7,7,7,6.125,7,7,7,1,7,6,7,7,NA,NA,NA,6.4,6.180772357723577,NA,6.171544715447155,6.1899999999999995
1,54,30,1,6.857142857142857,7,7,7,7,7,6,7,6.625,7,7,7,7,7,6,6,6,NA,NA,NA,6.32,5.47468253968254,5.986666666666666,6.095238095238095,4.5851851851851855
1,55,44,1,6.857142857142857,7,6,7,7,7,7,7,3.875,3,6,3,5,3,3,3,5,NA,NA,NA,4.9,5.291895156515217,4.726462585034014,5.8979591836734695,5.98852800694746
1,56,38,1,7,7,7,7,7,7,7,7,5.375,7,6,2,6,7,7,2,6,NA,NA,NA,4.48,5.20984126984127,6.16,4.92,5.117222222222222
1,57,39,1,6,6,5,6,6,7,6,6,5.75,6,6,6,6,6,5,5,6,NA,NA,NA,4.8,6.000595238095238,6.1866666666666665,5.5600000000000005,6.162083333333333
1,58,NA,1,5.285714285714286,5,5,7,6,7,5,2,5.5,6,6,6,6,2,6,6,6,NA,NA,NA,5.72,5.281292517006802,5.579047619047619,4.785306122448979,5.38
1,59,48,1,5.714285714285714,6,6,6,5,6,5,6,3.5,5,3,2,4,2,4,1,7,NA,NA,NA,3.88,6.5,6.720000000000001,NA,6.28
1,60,44,2,5.428571428571429,5,6,5,5,5,5,7,5.5,6,7,4,6,6,5,6,4,NA,NA,NA,4.88,5.601570297559275,4.863005050505051,6.020842379504993,6.060620823316353
1,61,26,2,6.285714285714286,5,7,7,7,7,4,7,6,6,7,6,6,6,6,6,5,NA,NA,NA,4.6,5.731736596736597,5.1725,5.91,5.896884469696969
1,62,39,1,5.857142857142857,4,6,6,6,6,6,7,5.625,6,6,6,6,6,6,4,5,NA,NA,NA,5.66,5.676388888888889,NA,5.64,5.694583333333333
1,63,45,2,6.428571428571429,5,7,6,7,6,7,7,6.125,6,7,5,6,5,7,6,7,NA,NA,NA,5.78,5.65797619047619,6.220000000000001,5.46,5.415277777777778
1,64,36,2,6.714285714285714,7,7,7,6,7,6,7,6.375,6,6,7,6,7,7,6,6,NA,NA,NA,5.22,5.538311688311689,6.36,4.681818181818182,5.555714285714286
1,65,53,2,7,7,7,7,7,7,7,7,6.5,7,7,7,7,6,6,6,6,NA,NA,NA,6.02,5.849737609329446,5.9536326530612245,5.88,5.3
1,66,40,2,6.714285714285714,7,7,5,7,7,7,7,6.125,6,7,7,7,6,3,6,7,NA,NA,NA,5.877551020408164,5.635589743589744,NA,5.92,5.445982905982906
1,67,53,1,7,7,7,7,7,7,7,7,5.25,7,7,2,4,6,6,6,4,NA,NA,NA,4.76,5.5185204081632655,5.933333333333334,5.369999999999999,5.202721088435374
